"year","doy","Cyanophyta_rel_biomass_conc_mgL"
"1995",24,0.0322114631824765
"1995",87,0.00194354311753745
"1995",101,0.000706995070566112
"1995",114,0.000957181318220642
"1995",143,0.981524873225359
"1995",157,0.345707267640364
"1995",171,0.711976537438309
"1995",187,0.997622245674123
"1995",199,0.992296596911634
"1995",214,0.978681272337323
"1995",226,0.995754329662113
"1995",242,0.957328096856512
"1995",248,0.000495363703204125
"1995",254,0.850929378441563
"1995",268,0.945691779764365
"1995",284,0.898264173630702
"1995",311,0.221846215179553
"1995",340,0.54842034703375
"1996",37,0.585344690269458
"1996",100,0.039797195853731
"1996",107,0.023616140328198
"1996",122,0.232264548297425
"1996",135,0.418372477988844
"1996",149,0.522700453560625
"1996",162,0.388802240616427
"1996",178,0.225522148054548
"1996",190,0.842248069996095
"1996",204,0.995077631059261
"1996",218,0.966224011942565
"1996",232,0.938265662426955
"1996",249,0.95995185185103
"1996",261,0.856808686379477
"1996",290,0.851807490658002
"1996",330,0.0415352209509906
"1997",48,0.158465504754077
"1997",99,0.00306565479735982
"1997",133,0.029420975810856
"1997",148,0.0430720271641172
"1997",162,0.645082046506323
"1997",176,0.396109740284375
"1997",190,0.36431577718248
"1997",204,0.579561352998674
"1997",218,0.947601644356606
"1997",230,0.936125176630975
"1997",245,0.967688820007721
"1997",273,0.594862839231914
"1997",303,0.221959205629386
"1997",334,0.549346473430556
"1998",37,0.0184542497863217
"1998",72,0.000959478111699211
"1998",85,0.00615548819893792
"1998",100,0.00914737665398763
"1998",114,0.00163425998549093
"1998",187,0.994323435668879
"1998",204,0.950663324908997
"1998",214,0.954760143957162
"1998",230,0.97751245375896
"1998",245,0.973778907933673
"1998",271,0.953539082356918
"1998",300,0.109417729729521
"1998",327,0.166979686853296
"1999",25,0.508710152215326
"1999",53,0.0757041051259173
"1999",88,0.00528719167214453
"1999",102,0.0182880559424682
"1999",116,0.881480029981175
"1999",130,0.33773027858498
"1999",146,0.394960280467031
"1999",158,0.669795594907225
"1999",172,0.984110443585521
"1999",187,0.984616688714667
"1999",200,0.996789100236348
"1999",214,0.710797115674689
"1999",228,0.949263483681112
"1999",242,0.642409388828093
"1999",270,0.694436698189879
"1999",299,0.774348032122564
"1999",326,0.529449386055594
"2000",24,0.0756182317800785
"2000",59,0.0417534989135438
"2000",73,0.142332559403106
"2000",89,0.0126394536628119
"2000",101,0.0593985469532603
"2000",116,0.0711054426111772
"2000",131,0.476938901880459
"2000",143,0.746729116842934
"2000",158,0.752304834391356
"2000",171,0.990159471970948
"2000",185,0.946480018044042
"2000",199,0.972889749760619
"2000",213,0.426172290681435
"2000",229,0.989660816612639
"2000",241,0.987784636577757
"2000",269,0.766028198173505
"2000",298,0.579360868582821
"2001",17,0.353909774316174
"2001",66,0.0191684385549474
"2001",100,0.00413275235103119
"2001",113,0.0459986732083567
"2001",127,0.0768514628312383
"2001",141,0.351675750210975
"2001",155,0.538051292626007
"2001",169,0.534294767954903
"2001",183,0.997713521313159
"2001",197,0.987417118566805
"2001",211,0.95456128600134
"2001",225,0.966556492998174
"2001",239,0.862415782075518
"2001",269,0.777121921432933
"2001",295,0.324503311258278
"2001",330,0.034596981965403
"2001",332,0.60175968755192
"2002",87,0.0587924288886539
"2002",98,0.021622227201434
"2002",114,0.0842762387826766
"2002",126,0.418604651162791
"2002",140,0.321649484536082
"2002",154,0.451204055766793
"2002",170,0.216374269005848
"2002",182,0.853362045012503
"2002",196,0.923023817742492
"2002",207,0.98540201773158
"2002",224,0.988657844990548
"2002",238,0.980569285836032
"2002",266,0.953814218993254
"2002",294,0.840951784596118
"2003",21,0.00523776705720193
"2003",93,0.148239148239148
"2003",104,0.0281941961215789
"2003",118,0.471019809244314
"2003",123,0.0336394302848576
"2003",147,0.316674238982281
"2003",160,0.851190053285968
"2003",202,0.937897928246589
"2003",216,0.934794881445239
"2003",230,0.891989605694272
"2003",245,0.959793161671591
"2003",272,0.717086015213575
"2003",300,0.361481340441736
"2003",329,0.865261228230981
"2004",36,0.1060116354234
"2004",89,0.00963283540416027
"2004",103,0.00663796196627198
"2004",117,0.240179573512907
"2004",131,0.350867964229353
"2004",145,0.804240565408721
"2004",159,0.825672159583695
"2004",173,0.969643683479871
"2004",189,0.936377897856022
"2004",201,0.991096910286636
"2004",216,0.982621494603109
"2004",229,0.985144784527611
"2004",251,0.872168284789644
"2004",279,0.984581497797357
"2004",308,0.943421949556919
"2005",31,0.0592991913746631
"2005",105,0.00719002201027146
"2005",115,0.00918651033482413
"2005",129,0.00533980582524272
"2005",143,0.00340208377631299
"2005",157,0.00937440214272049
"2005",171,0.970893514196276
"2005",186,0.997592050171611
"2005",199,0.9971037388099
"2005",213,0.99212989553096
"2005",227,0.0444184687317358
"2005",241,0.960706266585017
"2005",269,0.839770015187676
"2005",306,0.990239007480387
"2005",334,0.991595253790376
"2006",65,0.260801256873527
"2006",94,0.262140733399405
"2006",107,0.115427717594322
"2006",122,0.783392585068563
"2006",135,0.101731601731602
"2006",150,0.227133210558625
"2006",163,0.821894635089415
"2006",177,0.942390119869233
"2006",191,0.748315403712023
"2006",205,0.980608793686584
"2006",219,0.902817476521029
"2006",233,0.819440353460972
"2006",249,0.841301413653477
"2006",275,0.989945832196719
"2006",303,0.978160024379508
"2006",331,0.913756453082296
"2007",3,0.671971252566735
"2007",50,0.0401808136614766
"2007",92,0.0149386845039019
"2007",106,0.00911556761083196
"2007",120,0.0236533149171271
"2007",134,0.502890173410405
"2007",149,0.3328
"2007",162,0.831380208333333
"2007",176,0.988687963036724
"2007",190,0.981939204717922
"2007",204,0.985449710323867
"2007",218,0.947372852812395
"2007",232,0.899705014749262
"2007",247,0.9713173703359
"2007",274,0.939673278879813
"2007",302,0.923921887713588
"2007",330,0.739488870568838
"2008",44,0.195592286501377
"2008",105,0.00125464536416479
"2008",119,0.00915529452409743
"2008",133,0.0156094320823647
"2008",149,0.411764705882353
"2008",161,0.727617602427921
"2008",175,0.969282721022011
"2008",189,0.995413055717068
"2008",203,0.99370820698715
"2008",217,0.995083895661538
"2008",231,0.993955652144385
"2008",249,0.963510167634046
"2008",273,0.983954345378237
"2008",303,0.889211417513304
"2009",2,0.479143179255919
