dateTime,PRES,PRES.1,PRES.2,PRES.3,PRES.4,PRES.5
2019-09-22T21:00:00Z,97673.21875,97673.21875,97673.21875,97673.21875,97673.21875,97673.21875
2019-09-22T22:00:00Z,97658.6015625,97658.6015625,97658.6015625,97658.6015625,97658.6015625,97658.6015625
2019-09-22T23:00:00Z,97643.9765625,97643.9765625,97643.9765625,97643.9765625,97643.9765625,97643.9765625
2019-09-23T00:00:00Z,97629.3671875,97629.3671875,97629.3671875,97629.3671875,97629.3671875,97629.3671875
2019-09-23T01:00:00Z,97720.9765625,97720.9765625,97720.9765625,97720.9765625,97720.9765625,97720.9765625
2019-09-23T02:00:00Z,97812.296875,97812.296875,97812.296875,97812.296875,97812.296875,97812.296875
2019-09-23T03:00:00Z,97903.9609375,97903.9609375,97903.9609375,97903.9609375,97903.9609375,97903.9609375
2019-09-23T04:00:00Z,97888.921875,97888.921875,97888.921875,97888.921875,97888.921875,97888.921875
2019-09-23T05:00:00Z,97873.2421875,97873.2421875,97873.2421875,97873.2421875,97873.2421875,97873.2421875
2019-09-23T06:00:00Z,97858.296875,97858.296875,97858.296875,97858.296875,97858.296875,97858.296875
2019-09-23T07:00:00Z,97882.6796875,97882.6796875,97882.6796875,97882.6796875,97882.6796875,97882.6796875
2019-09-23T08:00:00Z,97907.703125,97907.703125,97907.703125,97907.703125,97907.703125,97907.703125
2019-09-23T09:00:00Z,97932.078125,97932.078125,97932.078125,97932.078125,97932.078125,97932.078125
2019-09-23T10:00:00Z,97992.9921875,97992.9921875,97992.9921875,97992.9921875,97992.9921875,97992.9921875
2019-09-23T11:00:00Z,98054.5234375,98054.5234375,98054.5234375,98054.5234375,98054.5234375,98054.5234375
2019-09-23T12:00:00Z,98115.421875,98115.421875,98115.421875,98115.421875,98115.421875,98115.421875
2019-09-23T13:00:00Z,98151.5,98151.5,98151.5,98151.5,98151.5,98151.5
2019-09-23T14:00:00Z,98186.7421875,98186.7421875,98186.7421875,98186.7421875,98186.7421875,98186.7421875
2019-09-23T15:00:00Z,98222.421875,98222.421875,98222.421875,98222.421875,98222.421875,98222.421875
2019-09-23T16:00:00Z,98251.953125,98251.953125,98251.953125,98251.953125,98251.953125,98251.953125
2019-09-23T17:00:00Z,98280.8203125,98280.8203125,98280.8203125,98280.8203125,98280.8203125,98280.8203125
2019-09-23T18:00:00Z,98310.2421875,98310.2421875,98310.2421875,98310.2421875,98310.2421875,98310.2421875
2019-09-23T19:00:00Z,98329.8203125,98329.8203125,98329.8203125,98329.8203125,98329.8203125,98329.8203125
2019-09-23T20:00:00Z,98348.7578125,98348.7578125,98348.7578125,98348.7578125,98348.7578125,98348.7578125
2019-09-23T21:00:00Z,98368.34375,98368.34375,98368.34375,98368.34375,98368.34375,98368.34375
2019-09-23T22:00:00Z,98317.796875,98317.796875,98317.796875,98317.796875,98317.796875,98317.796875
2019-09-23T23:00:00Z,98266.6171875,98266.6171875,98266.6171875,98266.6171875,98266.6171875,98266.6171875
2019-09-24T00:00:00Z,98216.078125,98216.078125,98216.078125,98216.078125,98216.078125,98216.078125
2019-09-24T01:00:00Z,98196.8984375,98196.8984375,98196.8984375,98196.8984375,98196.8984375,98196.8984375
2019-09-24T02:00:00Z,98177.6171875,98177.6171875,98177.6171875,98177.6171875,98177.6171875,98177.6171875
2019-09-24T03:00:00Z,98158.140625,98158.140625,98158.140625,98158.140625,98158.140625,98158.140625
2019-09-24T04:00:00Z,98118.71875,98118.71875,98118.71875,98118.71875,98118.71875,98118.71875
2019-09-24T05:00:00Z,98079.203125,98079.203125,98079.203125,98079.203125,98079.203125,98079.203125
2019-09-24T06:00:00Z,98040.3203125,98040.3203125,98040.3203125,98040.3203125,98040.3203125,98040.3203125
2019-09-24T07:00:00Z,98033.0390625,98033.0390625,98033.0390625,98033.0390625,98033.0390625,98033.0390625
2019-09-24T08:00:00Z,98025.65625,98025.65625,98025.65625,98025.65625,98025.65625,98025.65625
2019-09-24T09:00:00Z,98018.3828125,98018.3828125,98018.3828125,98018.3828125,98018.3828125,98018.3828125
2019-09-24T10:00:00Z,98039.4765625,98039.4765625,98039.4765625,98039.4765625,98039.4765625,98039.4765625
2019-09-24T11:00:00Z,98060.578125,98060.578125,98060.578125,98060.578125,98060.578125,98060.578125
2019-09-24T12:00:00Z,98081.6796875,98081.6796875,98081.6796875,98081.6796875,98081.6796875,98081.6796875
2019-09-24T13:00:00Z,98070.5234375,98070.5234375,98070.5234375,98070.5234375,98070.5234375,98070.5234375
2019-09-24T14:00:00Z,98059.2734375,98059.2734375,98059.2734375,98059.2734375,98059.2734375,98059.2734375
2019-09-24T15:00:00Z,98048.4375,98048.4375,98048.4375,98048.4375,98048.4375,98048.4375
2019-09-24T16:00:00Z,97954.0234375,97954.0234375,97954.0234375,97954.0234375,97954.0234375,97954.0234375
2019-09-24T17:00:00Z,97858.859375,97858.859375,97858.859375,97858.859375,97858.859375,97858.859375
2019-09-24T18:00:00Z,97764.2421875,97764.2421875,97764.2421875,97764.2421875,97764.2421875,97764.2421875
2019-09-24T19:00:00Z,97804.7578125,97804.7578125,97804.7578125,97804.7578125,97804.7578125,97804.7578125
2019-09-24T20:00:00Z,97845.3828125,97845.3828125,97845.3828125,97845.3828125,97845.3828125,97845.3828125
2019-09-24T21:00:00Z,97886.5390625,97886.5390625,97886.5390625,97886.5390625,97886.5390625,97886.5390625
2019-09-24T22:00:00Z,97714.7734375,97714.7734375,97714.7734375,97714.7734375,97714.7734375,97714.7734375
2019-09-24T23:00:00Z,97543.5234375,97543.5234375,97543.5234375,97543.5234375,97543.5234375,97543.5234375
2019-09-25T00:00:00Z,97371.640625,97371.640625,97371.640625,97371.640625,97371.640625,97371.640625
2019-09-25T01:00:00Z,97345.6875,97345.6875,97345.6875,97345.6875,97345.6875,97345.6875
2019-09-25T02:00:00Z,97320.2734375,97320.2734375,97320.2734375,97320.2734375,97320.2734375,97320.2734375
2019-09-25T03:00:00Z,97294.5390625,97294.5390625,97294.5390625,97294.5390625,97294.5390625,97294.5390625
2019-09-25T04:00:00Z,97253.34375,97253.34375,97253.34375,97253.34375,97253.34375,97253.34375
2019-09-25T05:00:00Z,97212.0390625,97212.0390625,97212.0390625,97212.0390625,97212.0390625,97212.0390625
2019-09-25T06:00:00Z,97170.84375,97170.84375,97170.84375,97170.84375,97170.84375,97170.84375
2019-09-25T07:00:00Z,97169.1015625,97169.1015625,97169.1015625,97169.1015625,97169.1015625,97169.1015625
2019-09-25T08:00:00Z,97167.8984375,97167.8984375,97167.8984375,97167.8984375,97167.8984375,97167.8984375
2019-09-25T09:00:00Z,97166.796875,97166.796875,97166.796875,97166.796875,97166.796875,97166.796875
2019-09-25T10:00:00Z,97194.8203125,97194.8203125,97194.8203125,97194.8203125,97194.8203125,97194.8203125
2019-09-25T11:00:00Z,97223.3828125,97223.3828125,97223.3828125,97223.3828125,97223.3828125,97223.3828125
2019-09-25T12:00:00Z,97251.3984375,97251.3984375,97251.3984375,97251.3984375,97251.3984375,97251.3984375
