"","date","phylum","abund","sampledate","day","month","year","doy"
"71","01Aug2002","WS4",0,2002-08-01,1,8,"2002",213
"72","01Aug2002","Zixibacteria",0,2002-08-01,1,8,"2002",213
"73","01Aug2013","Abditibacteriota",0,2013-08-01,1,8,"2013",213
"74","01Aug2013","Acidobacteriota",0.180283547378533,2013-08-01,1,8,"2013",213
"75","01Aug2013","Actinobacteriota",26.4132882639743,2013-08-01,1,8,"2013",213
"76","01Aug2013","Aenigmarchaeota",0,2013-08-01,1,8,"2013",213
"77","01Aug2013","Armatimonadota",0.132933565072934,2013-08-01,1,8,"2013",213
"78","01Aug2013","Arthropoda",0,2013-08-01,1,8,"2013",213
"79","01Aug2013","Bacteroidota",33.6217276646052,2013-08-01,1,8,"2013",213
"80","01Aug2013","Bdellovibrionota",0.288334021786215,2013-08-01,1,8,"2013",213
"81","01Aug2013","Caldisericota",0,2013-08-01,1,8,"2013",213
"82","01Aug2013","Calditrichota",0,2013-08-01,1,8,"2013",213
"83","01Aug2013","Campilobacterota",0.135499331622136,2013-08-01,1,8,"2013",213
"84","01Aug2013","Cercozoa",0,2013-08-01,1,8,"2013",213
"85","01Aug2013","Chloroflexi",1.36121805926214,2013-08-01,1,8,"2013",213
"86","01Aug2013","Ciliophora",0,2013-08-01,1,8,"2013",213
"87","01Aug2013","Cloacimonadota",0,2013-08-01,1,8,"2013",213
"88","01Aug2013","Crenarchaeota",0,2013-08-01,1,8,"2013",213
"89","01Aug2013","Cyanobacteria",13.3078931036401,2013-08-01,1,8,"2013",213
"90","01Aug2013","Dadabacteria",0,2013-08-01,1,8,"2013",213
"91","01Aug2013","Deferrisomatota",0,2013-08-01,1,8,"2013",213
"92","01Aug2013","Deinococcota",0,2013-08-01,1,8,"2013",213
"93","01Aug2013","Dependentiae",0.162449630422266,2013-08-01,1,8,"2013",213
"94","01Aug2013","Desulfobacterota",0.0608749875470963,2013-08-01,1,8,"2013",213
"95","01Aug2013","Dinoflagellata",0,2013-08-01,1,8,"2013",213
"96","01Aug2013","Edwardsbacteria",0,2013-08-01,1,8,"2013",213
"97","01Aug2013","Elusimicrobiota",0,2013-08-01,1,8,"2013",213
"98","01Aug2013","Euglenozoa",0,2013-08-01,1,8,"2013",213
"99","01Aug2013","Euryarchaeota",0,2013-08-01,1,8,"2013",213
"100","01Aug2013","FCPU426",0,2013-08-01,1,8,"2013",213
