SimDate,EpiPOC_mgC_L,EpiDOC_mgC_L,EpiDO_mgO2_L,EpiDO_sat,EpiNPP_mgC_L,EpiR_mgC_L,EpiT_C,EpiI_w_m2,Secchi_m
2010-01-01,0.2250636128634507,5.383603410339068,12.86478648499303,13.882479734604287,0.023899266326116653,0.00676121318717539,0.7350167882434275,5.170487540144441,3.881500004596836
2010-01-02,0.21203437906512151,5.3801604807393915,12.873700274120202,13.91191624924004,0.0023287139179475123,0.0067638190097314,0.6593957750392798,0.5081565376647857,4.001669147091734
2010-01-03,0.2007964131041085,5.376700953776275,12.889730767477452,13.822055231191516,0.00438189304675465,0.006779090093166908,0.8910880954911075,0.9629391184733822,4.107735646374631
2010-01-04,0.19095995264652926,5.373927381090951,12.902344416703745,13.821641048971756,0.004544153184518516,0.006686018064007207,0.892161832279455,0.9768372747095142,4.208615667357209
2010-01-05,0.18169669737246547,5.3711444631294105,12.914970411077242,13.82121348273504,0.00435624413004546,0.006597658497299586,0.8932703226523708,0.9362890960191,4.307988789041796
2010-01-06,0.1735873034883174,5.369068828338767,12.92776278027332,13.82077669162777,0.00424808184632955,0.006509995078524893,0.8944027883246256,0.9128983733164272,4.403451094572455
2010-01-07,0.16627013729770673,5.367065388514511,12.942073157470888,13.820322725838304,0.0046772691465069675,0.006425381501346257,0.8955798461958291,1.0048319761284439,4.492343705507668
2010-01-08,0.1587752406215359,5.364595640929457,12.954957134207435,13.81985928901078,0.004066550705261607,0.006345384105871537,0.8967815276695613,0.8733959292132955,4.584120813952881
2010-01-09,0.15236905081663898,5.362350607756928,12.970523458628195,13.819382125482766,0.004971160320700029,0.006262128673994991,0.8980188726725549,1.0674810120652627,4.664602066628739
2010-01-10,0.14667622925167087,5.360234533220594,12.987209081832429,13.81887191145981,0.005386959444751651,0.006186773894478883,0.8993420009002716,1.1565780681718714,4.737943233402093
2010-01-11,0.14148070912319166,5.358525321388451,13.002540000721321,13.818351641379591,0.004926404646081522,0.006115886182453667,0.900691291537131,1.0575333343230702,4.810844416984176
2010-01-12,0.13564104012457698,5.356401330079982,13.014069583055546,13.817858778198428,0.0035294056932871055,0.006044752884508075,0.9019695824087438,0.7574509201457218,4.894368580439241
2010-01-13,0.13144364086208127,5.354832356815515,13.030569560063652,13.817349888410854,0.00532460872081636,0.005965507338211793,0.9032895200233588,1.1424564318851,4.956079178834871
2010-01-14,0.12773158024134845,5.353361152529041,13.04766853420325,13.816788536935205,0.005643371829491213,0.0059004177461516065,0.9047456250452163,1.2105833921648552,5.0114505117695956
2010-01-15,0.12398448304318055,5.351777405176597,13.063428564164505,13.816219425295992,0.005269280425193374,0.005838905820183594,0.9062219604880609,1.1300887807305342,5.0679868433795985
2010-01-16,0.12096030470678576,5.350406716398056,13.080789683561408,13.815640156543394,0.0059728023147328085,0.005776108605875499,0.907724749119043,1.2807087015941825,5.114000833523891
2010-01-17,0.11829206558574774,5.349112789651415,13.09837615764661,13.815034507470664,0.006222145130122372,0.0057195133546485396,0.9092960886591461,1.3339167003899595,5.154766568453045
2010-01-18,0.11571429690315933,5.347791319495792,13.115217419273197,13.814420488187364,0.006128467008089689,0.005665833590068536,0.9108892622267282,1.313589959738566,5.194311949446504
2010-01-19,0.11337608113956651,5.346509550817809,13.131925175324708,13.81380261366065,0.0062555360979729,0.0056126297905612086,0.9124925585477783,1.3405922374644619,5.230195784777391
2010-01-20,0.1113521075139799,5.345305968693621,13.14882448270694,13.813172349141313,0.006513380324674166,0.005561426920239965,0.9141281288531364,1.3956223854112133,5.261070679845709
2010-01-21,0.10927887137986432,5.344034224978159,13.16456059264681,13.812537427406273,0.006281406235980816,0.00551307446472127,0.9157759112361193,1.3457108737562402,5.292847120812858
2010-01-22,0.10610194180245484,5.342245942225365,13.17514026341698,13.811948411178467,0.004529321291197518,0.005464075663247683,0.9173046706351544,0.9702104640650207,5.343448741001052
2010-01-23,0.10457012316355684,5.341096628669976,13.191090184780775,13.811353583747536,0.00658213414893098,0.0054040203319047405,0.9188486234854564,1.4097652605543973,5.366625601623432
2010-01-24,0.10254892274858508,5.339939188490154,13.203156358631096,13.810733069301882,0.005334450608319873,0.005359481893668815,0.9204593690276716,1.1424060997436816,5.402034628831483
2010-01-25,0.10041426492022616,5.339220252126924,13.21144768471461,13.810175645959058,0.004026133992759385,0.005308253297669739,0.9219064445795779,0.8620617225746221,5.448074898681136
2010-01-26,0.09827332094057607,5.338325469931242,13.219894172431012,13.809641003886224,0.004094486896107549,0.005251482220301186,0.923294471663732,0.8764061214823641,5.491563044815891
2010-01-27,0.09710227495381674,5.337828559026732,13.231401060824393,13.809088161803084,0.0052631606844499084,0.005195813001362183,0.924729843887338,1.1262504093019041,5.51762375077256
2010-01-28,0.0954495066872284,5.33713418456257,13.240424920901512,13.808497380351952,0.00445276863177062,0.005149567157354789,0.9262638263990493,0.9525783331549732,5.552301702894082
2010-01-29,0.0961884335562306,5.337439909247553,13.258057867859625,13.807850201600587,0.007737655713526158,0.00509888326696659,0.9279443724087125,1.6548520428405873,5.542690368584556
2010-01-30,0.09677594149411241,5.337689639636906,13.27468652825993,13.807111774120736,0.007682272894954702,0.005072106570605234,0.9298620274989493,1.6425437231611142,5.534815258599107
2010-01-31,0.09732861869912025,5.337928646195575,13.290759986127453,13.806379102668231,0.007775859032618233,0.005045388081257726,0.9317649042570679,1.662073382892233,5.526641106861305
2010-02-01,0.0978017684646494,5.338140941870176,13.306091105536726,13.80564862572989,0.0077910604030367895,0.00501976067566045,0.9336622498292074,1.6648706506984066,5.519149194399737
