DATATAKE_IDENTIFIER,MGRS_TILE,SPACECRAFT_NAME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,pixelCount
GS2A_20190315T165041_019471_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190315T165041_019471_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190320T165209_010634_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190320T165209_010634_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190325T164931_019614_N02.11,15TYH,Sentinel-2A,588.7310701014046,638.436795364364,702.7717578887701,614.0070416325505,546.2308244630601,428.12566605781956,354.80615985387675,334.58056307866735,287.396737418908,61.12086666246774,61.524658310764046,311
GS2A_20190325T164931_019614_N02.11,16TCN,Sentinel-2A,653.6198567067787,677.0174575544288,728.535772849971,627.2890713691061,553.7877595297562,432.6114054340422,357.50620600923327,337.24769797421726,288.63441307802924,60.36036479225004,61.95459017634145,312
GS2B_20190330T164859_010777_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190330T164859_010777_N02.11,16TCN,Sentinel-2B,2618.2469285299826,2453.12499053962,2243.3939680617577,2168.0300966220134,2198.2071192512426,2121.7817553419604,2114.689283281616,2197.155743081308,2088.6844900224523,2344.3769772194046,2497.2225459774463,312
GS2A_20190404T165211_019757_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190404T165211_019757_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190409T164849_010920_N02.11,15TYH,Sentinel-2B,137.82748630093852,195.93346350066142,229.68970208477685,174.50038420356495,189.87890659444489,138.68080871701204,139.69588713232991,133.2319203879827,132.7633306040185,118.6393651193551,118.72309630282803,311
GS2B_20190409T164849_010920_N02.11,16TCN,Sentinel-2B,137.0173818713893,187.3261938999469,218.00307777693686,158.3323242261408,175.86638159388474,122.88844319987884,124.76651782335568,116.86519589293368,117.28687656096271,115.85318751734403,117.9115265269053,312
GS2A_20190414T164901_019900_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190414T164901_019900_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190419T164849_011063_N02.11,15TYH,Sentinel-2B,110.19412987340183,187.22806575549546,243.46040183913843,224.777413869119,274.0575297600303,213.86008691818364,220.76660578194887,208.3346350066134,205.7072620772187,199.08012848774965,193.42776343137882,311
GS2B_20190419T164849_011063_N02.11,16TCN,Sentinel-2B,164.90156159338028,220.5437700244708,264.05011478594315,234.50875400489423,284.817149776735,220.30290875148205,226.13925679255277,212.43513963520772,209.12420848154585,202.51091097151792,197.96751936224422,312
GS2A_20190424T164901_020043_N02.11,15TYH,Sentinel-2A,244.68824085154637,226.38940605907916,270.2731246457141,223.66895509227186,240.39808528059473,207.5889147823897,202.71523587579514,193.13418152043837,195.49707123512,150.58799521320157,139.27234364174595,311
GS2A_20190424T164901_020043_N02.11,16TCN,Sentinel-2A,324.11071167284746,281.9071369106183,306.78196977723957,245.50486894220344,265.66700724034405,228.79044627765578,221.1052498801684,205.81045182774537,207.0973788440677,155.633631019955,143.53033628497178,312
GS2B_20190429T164849_011206_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190429T164849_011206_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190504T164901_020186_N02.11,15TYH,Sentinel-2A,257.93506329911196,221.92865150847146,223.89402280027727,145.53308559551556,137.12308370598984,121.34856710965549,114.49136486741833,110.15030547332627,101.06627196573666,43.89646658688671,35.69236001763559,311
GS2A_20190504T164901_020186_N02.11,16TCN,Sentinel-2A,333.5108857438381,273.6407956810212,257.7171472539671,165.47967910391284,158.06555412598698,139.8223088372562,130.9412573475617,121.85859885466333,111.1695930775246,47.34846994121951,37.459408663185265,312
GS2B_20190509T164849_011349_N02.12,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190509T164849_011349_N02.12,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190514T164901_020329_N02.12,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190514T164901_020329_N02.12,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190519T164849_011492_N02.12,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190519T164849_011492_N02.12,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190524T164901_020472_N02.12,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190524T164901_020472_N02.12,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190529T164849_011635_N02.12,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190529T164849_011635_N02.12,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190603T164901_020615_N02.12,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190603T164901_020615_N02.12,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190608T164849_011778_N02.12,15TYH,Sentinel-2B,527.8556150406251,554.8239717830826,561.2474396926372,533.326207721862,555.0089689487938,550.9201360458524,563.761919758141,521.1513006235439,550.4607419537699,497.2037916482964,475.47296088681765,311
GS2B_20190608T164849_011778_N02.12,16TCN,Sentinel-2B,560.3976386891696,576.3231413506899,574.2061605994096,540.0231211685459,562.9640253285904,556.5695653270772,567.5101919826433,524.1822069174297,552.1700976311207,499.42764701430406,479.1877570069881,312
GS2A_20190613T164901_020758_N02.12,15TYH,Sentinel-2A,584.8918561441081,583.2461548151418,628.4158090319335,609.9437425206277,634.1380235560879,634.6034893241798,638.5523587579523,619.508761100964,625.3849089878441,551.423745039995,503.8757825785729,311
GS2A_20190613T164901_020758_N02.12,16TCN,Sentinel-2A,625.7123792224827,607.92420343601,641.9555488281743,615.2381745250889,641.6648250460402,637.0492948863495,636.7969676328867,617.7208557228993,622.8300411211178,551.8497060975302,505.9014102273013,312
GS2B_20190618T164849_011921_N02.12,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190618T164849_011921_N02.12,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190623T164901_020901_N02.12,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190623T164901_020901_N02.12,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190628T164849_012064_N02.12,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190628T164849_012064_N02.12,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190703T164901_021044_N02.12,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190703T164901_021044_N02.12,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190708T164849_012207_N02.13,15TYH,Sentinel-2B,413.570195880834,454.2623165585441,561.1822636518235,290.6610316810481,348.45077785475854,258.69234742079743,259.0593311078919,216.81205517415128,201.42918687409474,55.9397241292436,35.60725577879953,311
GS2B_20190708T164849_012207_N02.13,16TCN,Sentinel-2B,251.10847902318417,324.41158959610476,463.00363278589265,200.5151239940462,253.54073008905362,171.38168218168968,180.47276671964477,147.21089078937405,136.30765155528653,37.91961199828453,27.102058578672512,312
GS2A_20190713T164901_021187_N02.13,15TYH,Sentinel-2A,809.1439314732006,731.5289790262647,929.499691377464,684.7075644013356,762.6300056685775,661.6431063802987,680.3111545002205,537.775977829565,674.9214209233486,554.327467405681,545.4963784090196,311
GS2A_20190713T164901_021187_N02.13,16TCN,Sentinel-2A,862.7349453820733,764.1544564696384,945.4146926007217,693.6477837483286,767.1849062791696,674.2606902293198,694.9722621660485,552.2336209288832,687.9601907212593,553.4893413052802,543.2897903579807,312
GS2B_20190718T164849_012350_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190718T164849_012350_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190723T164901_021330_N02.13,15TYH,Sentinel-2A,657.494047993954,660.6766643572466,839.9607356553508,639.9010140454749,812.650916419979,817.4722680607172,858.4514454871825,780.6659444479442,795.0736789065948,488.5900610946656,437.2579958430433,311
GS2A_20190723T164901_021330_N02.13,16TCN,Sentinel-2A,686.5313327783242,675.2173364615654,845.9420646333158,640.0067988597086,806.8569842831554,812.070889780267,853.7609929614774,778.415916143192,791.8539443477381,485.9281894094201,433.81743989505304,312
GS2B_20190728T164849_012493_N02.13,15TYH,Sentinel-2B,365.6083643005606,477.2233419411728,650.3759652327268,397.6222964036028,537.6318574037916,446.18133148579733,486.2679851357312,394.82819172387735,417.33908169049585,240.0933047805002,213.92754298671053,311
GS2B_20190728T164849_012493_N02.13,16TCN,Sentinel-2B,504.4990161204877,572.8307979515123,709.742425389137,442.65079845606573,570.9116022099448,476.8765231211687,511.06216100305244,422.5943262948108,441.0580615050834,245.48415701707924,216.82069426574824,312
GS2A_20190802T164901_021473_N02.13,15TYH,Sentinel-2A,325.7620331296846,380.7696794104681,662.160559299616,294.2079989922532,384.60561818983433,235.51689865843682,240.0082257353405,201.27896957863584,179.24107828934945,44.142835548277404,34.6606285822259,311
GS2A_20190802T164901_021473_N02.13,16TCN,Sentinel-2A,356.3972602739725,399.2914553848482,673.074055854083,295.8765988042081,381.69686419939944,233.3179066071293,237.87403819470723,199.36885390650622,176.46296576603848,42.62954413582582,33.685322535886364,312
GS2B_20190807T164849_012636_N02.13,15TYH,Sentinel-2B,539.9369402280029,650.6614977640614,890.4539144674693,514.7202242237202,596.2645713925805,412.6986332430561,428.79069093657495,359.09408578446823,357.66285822258635,243.60099515021747,218.33746929520692,311
GS2B_20190807T164849_012636_N02.13,16TCN,Sentinel-2B,628.8436766820558,707.2083049521935,921.8029844345217,539.027649537072,617.5554252125431,451.2867756502434,470.6721789147051,395.1051363556094,392.4447009258557,250.21663008653096,219.93426928025417,312
GS2A_20190812T164901_021616_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190812T164901_021616_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190817T164849_012779_N02.13,15TYH,Sentinel-2B,293.93253133463503,430.23357057378615,694.0333312338605,313.2179378975877,455.2609309063426,290.28985324683515,308.1727530389874,263.9338414058072,238.36214650122827,75.75089752472131,61.76547206651133,311
GS2B_20190817T164849_012779_N02.13,16TCN,Sentinel-2B,328.0163223088371,450.98898811776263,705.707850853957,315.18319079694237,446.95635611392817,284.439642776054,303.9121446050606,262.06531446302876,235.920066096521,74.57708317566038,60.10361008098081,312
GS2A_20190822T164901_021759_N02.13,15TYH,Sentinel-2A,267.8440007558104,373.7973546639796,793.2395666687664,325.3113686464699,439.7601310071173,206.72189960319977,214.74697990804307,175.0796498078983,145.54806323612783,30.89903634187818,26.17115324053663,311
GS2A_20190822T164901_021759_N02.13,16TCN,Sentinel-2A,311.922462726103,401.1620878427812,807.8432856530184,330.57672998814286,446.2426145967355,209.6954136078104,216.52122909256033,175.57939150836293,145.42393854537204,30.200333005373494,26.00380937965135,312
GS2B_20190827T164849_012922_N02.13,15TYH,Sentinel-2B,277.28774957485683,411.08985324683505,626.5161428481453,332.74170183284014,400.06707816338115,275.88506644832154,289.7224790577567,249.89209548403358,241.18415317755253,124.09645399004853,110.40030232411671,311
GS2B_20190827T164849_012922_N02.13,16TCN,Sentinel-2B,301.38269128888214,424.308105653523,633.7241479351145,330.2945710033048,399.27942178157866,274.2310603193822,287.3457958071595,244.30192487196942,235.61641312848448,122.33000327959839,109.17837231009864,312
GS2A_20190901T164901_021902_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190901T164901_021902_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190906T164849_013065_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190906T164849_013065_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190911T164851_022045_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190911T164851_022045_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190916T164929_013208_N02.13,15TYH,Sentinel-2B,203.99795931221266,409.7325061409589,852.5822006676325,356.01168986584366,1271.0083139132082,2022.352560307364,2016.6560685268007,1831.5333249354424,1779.773672608176,286.8462807835234,90.5847578257857,311
GS2B_20190916T164929_013208_N02.13,16TCN,Sentinel-2B,245.36417417190137,434.6766063725119,867.7415928757031,359.85839703322483,1278.462612578521,2034.8955195640651,2027.1873281364312,1839.7236433815178,1784.9417871288376,285.27577638184596,89.78729281767953,312
GS2A_20190921T165001_022188_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190921T165001_022188_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190926T165039_013351_N02.13,15TYH,Sentinel-2B,166.28198022296402,310.6181772375133,503.5905145808403,248.40773445865102,341.0619008628835,210.70976884801917,219.91951880078096,204.73987529130196,173.4949801599799,66.81568306355108,54.21652705171006,311
GS2B_20190926T165039_013351_N02.13,16TCN,Sentinel-2B,217.6919574156764,342.59753021014643,524.0749388228764,256.15415373748067,347.72224324528867,215.80133202149398,224.55439087767098,207.00722773026567,174.41552511415523,66.79197255228434,53.96876813239485,312
GS2A_20191001T165111_022331_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191001T165111_022331_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191006T165149_013494_N02.13,15TYH,Sentinel-2B,2464.918284310639,2554.529671852365,2656.01206777099,2496.895307677774,2579.0443534672804,2639.4295773760796,2634.0818290609072,2886.931687346476,2583.488417207283,2144.3085973420675,2004.3006991245206,311
GS2B_20191006T165149_013494_N02.13,16TCN,Sentinel-2B,2569.6761018189163,2591.614773329297,2645.6416660359737,2484.734806629833,2627.619213400942,2661.098211357501,2631.971417038774,2865.715557910138,2573.3005499634187,2159.116753702162,2058.4937939907672,312
GS2A_20191011T165231_022474_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191011T165231_022474_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191016T165259_013637_N02.13,15TYH,Sentinel-2B,1518.6052024941741,1475.6160105813449,1400.3723373433274,1296.884134282295,1346.3519556591305,1290.6346413050328,1280.068728349185,1331.6184795616307,1263.6430559929468,1440.2723310449078,1637.5835233356438,311
GS2B_20191016T165259_013637_N02.13,16TCN,Sentinel-2B,1561.78056964101,1501.506117712354,1414.8052927672236,1305.0381947072324,1353.2623930977063,1294.6486036479223,1282.7030828224727,1337.1743863366883,1268.05452962991,1454.5107596054384,1651.8586997653822,312
GS2A_20191021T165351_022617_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191021T165351_022617_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191026T165359_013780_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20191026T165359_013780_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20191031T165431_022760_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191031T165431_022760_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191105T165459_013923_N02.13,15TYH,Sentinel-2B,161.8641934874348,264.79988662845636,280.6708068274864,190.0686401713172,177.31479498645845,147.33854002645347,157.34172702651645,148.92875228317692,121.97490709831843,104.43112678717644,92.50329407318765,311
GS2B_20191105T165459_013923_N02.13,16TCN,Sentinel-2B,239.30888771159715,315.6305280153384,313.8679204823532,209.06895986276146,191.59363253361587,161.23842680188702,169.83758419738135,163.12162264436537,134.6925376523121,106.69934912586088,93.93585862408231,312
GS2A_20191110T165531_022903_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191110T165531_022903_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191115T165549_014066_N02.13,15TYH,Sentinel-2B,111.1705485923034,196.77354663979355,157.318284310638,79.15317755243437,73.76491780563082,51.933098192353754,58.464873716697156,43.52410404988349,36.3432386470996,26.200403098822214,25.149864583989434,311
GS2B_20191115T165549_014066_N02.13,16TCN,Sentinel-2B,308.30176089205065,343.2761169555237,266.6832664799818,156.75578344559642,126.77351850450306,99.87931077978759,100.5807538030727,97.03726128307979,85.23932238452029,34.14532404954716,28.69502257877342,312
GS2A_20191120T165611_023046_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191120T165611_023046_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191130T165641_023189_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191130T165641_023189_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191205T165649_014352_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20191205T165649_014352_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20191210T165711_023332_N02.13,15TYH,Sentinel-2A,42.068325250362186,78.76493040246902,121.88864395036853,77.94725703848339,66.231945581659,46.205152106821195,47.960609686968596,60.08859356301569,50.00440889336779,16.828528582878715,24.679536436354486,311
GS2A_20191210T165711_023332_N02.13,16TCN,Sentinel-2A,100.67776684578318,112.1639420772471,136.0047175761246,79.84080072655719,65.49378137692676,44.09081964731702,44.508110699059,56.23715280405659,46.1008350362017,14.200833885857094,23.449292363581314,312
GS2B_20191215T165709_014495_N02.13,15TYH,Sentinel-2B,1.0,87.98182276248666,86.61389431252756,40.82845625747938,24.286011211186004,15.344342010604572,19.37214917825537,22.190199683042803,15.530205903911511,5.156299082119339,11.390021055318066,311
GS2B_20191215T165709_014495_N02.13,16TCN,Sentinel-2B,39.18258533262694,146.84676707283234,123.82005095991323,61.26457529201042,46.49664471858522,34.33599542188594,35.1166906329625,32.179896992014974,23.02019475768814,6.616147876635834,12.456653460731767,312
GS2A_20191220T165711_023475_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191220T165711_023475_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20191225T165719_014638_N02.13,15TYH,Sentinel-2B,1.0,83.0623795427348,99.69732317188391,48.01990300434594,45.69001700573158,39.59128298797001,47.410279019966005,19.749184354726975,35.818895356162,29.568709453927067,44.039327328840486,311
GS2B_20191225T165719_014638_N02.13,16TCN,Sentinel-2B,119.45088170740937,192.8099220464694,176.77085698428309,99.63046494613889,86.96150256060947,76.65146698958095,80.24313176417164,53.714346981508115,65.15483488483564,35.48290824692853,46.14609349378137,312
GS2A_20191230T165711_023618_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20191230T165711_023618_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20200104T165709_014781_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20200104T165709_014781_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20200109T165651_023761_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20200109T165651_023761_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20200114T165639_014924_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20200114T165639_014924_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20200119T165621_023904_N02.13,15TYH,Sentinel-2A,8443.659834981425,8614.033973672611,8648.190905082834,8940.035497890032,9219.490117780442,8923.552031240162,8592.424349688232,8863.948894627456,8342.94094602255,900.6540026453364,996.6729230963034,311
GS2A_20200119T165621_023904_N02.13,16TCN,Sentinel-2A,8440.08939428341,8597.22939529251,8605.371704634326,8901.50991447816,9175.789184893665,8881.301357249176,8548.923080804258,8818.92702893615,8305.52908751482,893.57578395015,991.6435202704407,312
GS2B_20200124T165559_015067_N02.13,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20200124T165559_015067_N02.13,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20200129T165531_024047_N02.13,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20200129T165531_024047_N02.13,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20200203T165509_015210_N02.13,15TYH,Sentinel-2B,2985.3477987025262,3101.132216413682,3021.6820306103186,2852.9060653775914,2857.0750267682824,2578.5201234490155,2164.4266045222657,1890.2782011715058,1692.1068337847198,49.574390627952404,59.7834981419664,311
GS2B_20200203T165509_015210_N02.13,16TCN,Sentinel-2B,3025.4566588460852,3107.4821766442137,3003.5167890209136,2822.350677363202,2820.9674184515247,2549.456784984485,2144.1231993743536,1879.0314715305633,1682.7529705592976,56.67823355785967,62.6182547491107,312
GS2A_20200208T165441_024190_N02.14,15TYH,Sentinel-2A,3130.503533413114,3050.1094917175806,2982.8482458902827,2848.837072494806,2905.620835170374,2633.998853687725,2173.601284877497,2004.2527177678412,1750.9873023871012,19.70605278075204,23.45859758820903,311
GS2A_20200208T165441_024190_N02.14,16TCN,Sentinel-2A,3166.988382653448,3074.4684780140765,2987.579744695879,2842.968238351119,2887.48667978506,2617.6951991725314,2159.904866419435,1992.8945987537527,1739.087174247585,16.42046973939806,21.518214384823025,312
GS2B_20200213T165409_015353_N02.14,15TYH,Sentinel-2B,,,,,,,,,,,,0
