"sampledate","year","daynum","stratFlag","thermocline","layer","temp","o2","tp","doc"
1995-05-09,1995,129,FALSE,NA,"all",7.70570195868335,13.1009464285645,85.125206315528,NA
1995-05-23,1995,143,TRUE,12.0252866800976,"all",12.663463276798,9.19999228030081,NA,NA
1995-05-23,1995,143,TRUE,12.0252866800976,"epi",13.4061992958824,9.33473136384509,83.632098576458,NA
1995-05-23,1995,143,TRUE,12.0252866800976,"hypo",10.6797123538635,8.84012178194287,NA,NA
1995-06-06,1995,157,TRUE,8.10565998318678,"all",14.5134542574952,8.16673824968286,102.290901220056,NA
1995-06-06,1995,157,TRUE,8.10565998318678,"epi",16.6908629441624,9.80374365482234,75.5305097292724,NA
1995-06-06,1995,157,TRUE,8.10565998318678,"hypo",12.0917323425713,6.34605484341653,132.053906631947,NA
1995-06-21,1995,172,TRUE,5.43360216241796,"all",17.7251787010444,8.02096799697625,NA,NA
1995-06-21,1995,172,TRUE,5.43360216241796,"epi",24.1133439490446,14.4978025477707,44.409076433121,NA
1995-06-21,1995,172,TRUE,5.43360216241796,"hypo",14.2898695373365,4.53797589824658,NA,NA
1995-07-06,1995,187,TRUE,12.7297497600317,"all",18.703756989297,5.73140521530346,99.9664180656312,NA
1995-07-06,1995,187,TRUE,12.7297497600317,"epi",21.0916424307363,7.68855043624675,42.4308510638298,NA
1995-07-06,1995,187,TRUE,12.7297497600317,"hypo",12.3260267774835,0.50412588778557,253.636404721288,NA
1995-07-18,1995,199,TRUE,9.85550915988064,"all",19.6495737940773,4.58727211230989,NA,NA
1995-07-18,1995,199,TRUE,9.85550915988064,"epi",24.4602912993484,7.53541586814872,29.1938482177079,NA
1995-07-18,1995,199,TRUE,9.85550915988064,"hypo",12.9752343836917,0.497048141453776,NA,NA
1995-08-02,1995,214,TRUE,9.56668331719496,"all",19.8566453899831,3.12742415422554,139.615945346615,NA
1995-08-02,1995,214,TRUE,9.56668331719496,"epi",24.3668838635493,5.23744729781525,33.7695956305098,NA
1995-08-02,1995,214,TRUE,9.56668331719496,"hypo",13.5991874616439,0.2,286.466069591404,NA
1995-08-14,1995,226,TRUE,9.17537335467311,"all",20.5262400679876,3.26884270562806,NA,NA
1995-08-14,1995,226,TRUE,9.17537335467311,"epi",25.4420467612112,5.48079724032196,23.8061517822921,NA
1995-08-14,1995,226,TRUE,9.17537335467311,"hypo",13.7061010117099,0.2,NA,NA
1995-08-30,1995,242,TRUE,10.3871416651671,"all",20.131620164708,4.17266094058445,136.344219817245,NA
1995-08-30,1995,242,TRUE,10.3871416651671,"epi",24.0998592788039,6.36425681618294,25.1709762532982,NA
1995-08-30,1995,242,TRUE,10.3871416651671,"hypo",13.2830158963304,0.390284819431226,328.213088731134,NA
1995-09-11,1995,254,TRUE,12.1135035601397,"all",18.1602471172358,4.75628788504345,NA,NA
1995-09-11,1995,254,TRUE,12.1135035601397,"epi",20.3729527016685,6.45634471146487,30.9161947038114,NA
1995-09-11,1995,254,TRUE,12.1135035601397,"hypo",12.2503994290742,0.215658089531803,NA,NA
1995-09-25,1995,268,TRUE,14.5515529176079,"all",15.1717695294941,5.95921426364928,NA,NA
1995-09-25,1995,268,TRUE,14.5515529176079,"epi",15.9851979109401,7.28407091808686,58.7219626168224,NA
1995-09-25,1995,268,TRUE,14.5515529176079,"hypo",11.6964698042094,0.29888316108374,NA,NA
1995-10-11,1995,284,TRUE,18.8172149919882,"all",14.9641424156134,7.45865407055409,NA,NA
1995-10-11,1995,284,TRUE,18.8172149919882,"epi",15.065859992917,7.72140243182623,109.477629559674,NA
1995-10-11,1995,284,TRUE,18.8172149919882,"hypo",13.2680485328934,3.07744582649199,NA,NA
1995-10-25,1995,298,FALSE,NA,"all",11.431974090972,8.53488108962323,155.76083358625,NA
1995-11-10,1995,314,FALSE,NA,"all",7.4,11.2446322676023,143.774697015682,NA
1995-12-06,1995,340,FALSE,NA,"all",2.3,11.3337954476477,123.774697015682,NA
1996-04-09,1996,100,FALSE,NA,"all",3.78764920880859,15.0421847831302,124.774697015682,NA
1996-04-17,1996,108,FALSE,NA,"all",4.5,13.9475216673396,122.549394031364,6.33351817905909
1996-05-01,1996,122,FALSE,NA,"all",7.29655842185067,11.481033342259,106.310227617613,6.31739937465418
1996-05-14,1996,135,FALSE,NA,"all",8.88774721616362,9.54780855967334,99.7885604451138,NA
1996-05-28,1996,149,TRUE,19.0728662907424,"all",11.4945822620894,9.85575686762671,NA,NA
1996-05-28,1996,149,TRUE,19.0728662907424,"epi",11.5763667820069,9.95943483275663,109.583333333333,NA
1996-05-28,1996,149,TRUE,19.0728662907424,"hypo",9.2,6.94692253080456,NA,NA
1996-06-10,1996,162,TRUE,12.9264406276418,"all",13.583231358526,8.54189745110479,115.60312809817,6.60222201287248
1996-06-10,1996,162,TRUE,12.9264406276418,"epi",14.3506505433951,9.0723251186285,104.451400581662,6.65590846471759
1996-06-10,1996,162,TRUE,12.9264406276418,"hypo",11.5335549228279,7.12519441265891,145.387936138658,6.45883251019547
1996-06-26,1996,178,TRUE,9.08095553404987,"all",16.636895346972,7.11336360250157,NA,NA
1996-06-26,1996,178,TRUE,9.08095553404987,"epi",19.5386163280951,8.14472978152549,88,NA
1996-06-26,1996,178,TRUE,9.08095553404987,"hypo",12.6110778507189,5.6824568972844,NA,NA
1996-07-08,1996,190,TRUE,9.66165640963307,"all",18.8625694211646,6.47603458539577,124.593611369162,7.10078172275012
1996-07-08,1996,190,TRUE,9.66165640963307,"epi",23.4581065542353,9.66481410502108,83.9939152932158,7.29614220007666
