DATE_ACQUIRED,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,pixelCount
2013-03-19,0.8242031706948111,0.8241283811954051,0.7616525227853508,0.7460318705375812,0.5741836939999605,0.04248314064217308,0.05420526235804932,267.1401674804038,44024
2013-04-20,9.356448414018295E-4,0.006322426867018509,0.01806429466793954,0.01122880559340063,0.006809859603877759,0.01071500193419683,0.00926728334191207,276.7180335644397,33324
2013-08-10,0.0028206130699624196,0.008722252704805136,0.030312761985346562,0.010677682926728127,-0.0014625674597861238,7.910578212566897E-4,0.00242250657212495,297.5306405312953,36421
2013-09-27,4.830725260864543E-4,0.006319818206579289,0.019022795335505722,0.009258751866025499,0.00871474275294992,0.006713698572231047,0.005337675431958645,291.18363095575353,33120
2013-10-13,0.003664191729323297,0.007083168457116145,0.013418824823295039,0.006298808863543742,0.0028127601132168214,0.002394939425248602,0.0023625222094401936,290.6394449480378,44024
2013-11-30,-0.0017887175031659176,0.0054443970896541185,0.013462549299720942,0.001662578039318159,-0.002172468770142195,0.004814757809840358,0.004374278371787817,276.40871865336726,16576
2014-02-02,1.1444858133420512,1.1600921342934774,1.0976670755462314,1.1131575141488634,1.0039512799201435,0.07960530253329395,0.10205034055353727,259.04665011585155,44023
2014-05-09,0.01463316657481015,0.01852990546218487,0.03173749451754387,0.023905518288531182,0.020511519434628984,0.018509823391916112,0.017060994849519406,282.9375850220292,20572
2014-05-25,4.5492627690701574E-4,0.0043647529130435075,0.019979520339351745,0.008594180057058089,0.004753885889302763,0.002736629512580503,0.0028692660367574743,293.0656625229204,44024
2014-06-26,0.00487818540095955,0.016537199722582496,0.04735242305560102,0.018547238669728794,0.01077282926378098,0.008740385883836884,0.008278265118216614,298.53097223981797,32672
2014-07-28,0.014392944510291631,0.026617757370565664,0.051026790666721084,0.032745612359309756,0.04006569288243082,0.018557028055779606,0.015130296561911985,295.65554647982736,25817
2014-08-13,0.0028898330759372978,0.01260068305023674,0.03603273834250012,0.0165310681091009,0.008715406763660564,0.008749622900584227,0.006853448900206382,296.40831748581627,41953
2014-08-29,8.504630485542874E-4,0.008734614549256448,0.03170639437199095,0.012173126528216905,0.012637029717253358,0.008761420843631296,0.007342166615886679,297.2182244449212,35848
2014-09-14,0.0014323678516998104,0.006307293631835405,0.017066749155592288,0.007296746506604264,0.0047740040783794385,0.0030031168681627714,0.003384764860462025,292.34463737647246,44023
2014-10-16,0.0053573135635682475,0.007311155511039053,0.013120028970853183,0.005337989178279474,9.180054683452116E-4,0.0014468641930532786,7.136568549288417E-4,287.2802078463896,44024
2014-11-01,0.0016987067856420663,0.00513833459265893,0.012156197000013602,0.004323075483028504,5.835357256456831E-4,8.603588155147801E-4,5.84147720848396E-4,283.4526896349749,44024
2014-12-03,0.009581474393979824,0.009863869462422972,0.014080272445990168,0.004873530210787421,-0.0011852765824955976,0.001099175936737207,0.0013090564761848143,274.8575808102835,44024
2015-02-05,1.128986456177359,1.1528335861161378,1.0896242873986801,1.1055209245395854,0.9879358702662457,0.07711358575978954,0.09815358736798543,258.73452701976964,44024
2015-03-09,0.4356008422963561,0.4551316449585721,0.4628866185220965,0.4707348993216403,0.4003887527965163,0.010903870975091483,0.010264713385001624,273.34295731457814,43812
2015-04-26,0.0011910297090178144,0.004322445449298089,0.013059317112119674,0.004293420093701236,7.633709145643652E-4,0.0027069595761714,0.001582253360385452,282.31703556244383,44024
2015-05-28,4.240987372086162E-4,0.007260621930422014,0.018998782039008306,0.005323271987868766,0.00681918326326566,0.0029168135406448916,0.0033807028685884258,293.56180435818953,44024
2015-06-29,0.006776494661325403,0.01460605310255147,0.045882718106150425,0.010696786626341572,0.0015658956571523001,-0.0013580690416390704,9.708889203377109E-4,297.3453676634656,34701
2015-07-15,0.013917744312745492,0.02000682224614493,0.04246571806467376,0.02002122650473958,0.010731496533479264,0.002676136008933802,0.0013211800464524486,297.0933738002976,44024
2015-07-31,0.01906029530622961,0.02785637737934731,0.04933492214381832,0.034200567295458964,0.028341362115146634,0.02642043374256728,0.022967830460777824,297.8425911948413,44022
2015-08-16,0.010248737068965513,0.01999283876708514,0.04443151519156564,0.0268841655986567,0.04588802960526314,0.025883552163654948,0.019998059248763102,291.5639722726352,24925
2015-09-01,0.02221583692985149,0.027595598919491367,0.04053128680605397,0.022951201220311555,0.02232828320617729,0.006372487550575908,0.0035320146261890906,297.59191709850455,44022
2015-09-17,-0.03811855102828226,-0.02244289634146343,0.022934632151415005,0.0014556627906976707,0.014620655452436196,0.019995163240748712,0.018040001433112716,288.0956012329142,11133
2015-10-03,0.003010994902831505,0.006831826724405552,0.016075037490634405,0.00669502905573203,7.734145621550373E-4,0.0027352978218198104,0.0024569258464429244,290.2983182372245,35759
2015-11-04,9.231660427031386E-4,0.004876999476601384,0.013167239673509813,0.0043899944046342934,7.24503046285344E-4,0.002653155187931013,0.0015345238020612639,285.70383204867636,40965
2016-01-23,-0.07422332979742673,-0.06639619348450286,-0.042915998464117276,-0.05846264944741883,-0.011757833266541597,0.006817714086237439,0.027856850375278925,269.47207675362534,36434
2016-03-11,0.006800242107584761,0.01266192324689472,0.02439948662645462,0.014649316796692702,0.006770449529355103,0.00682926982709287,0.007337642906096497,273.68559322348756,44006
2016-04-12,0.002181824819703536,0.006304560078749437,0.01510624802593299,0.006305148527625264,8.462331928239328E-4,0.001189742357743013,0.0013763902230402231,279.5940452672013,44021
