DATE_ACQUIRED,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,pixelCount
2013-03-19,0.802265,0.8008075000000001,0.7338175,0.71553,0.5221225,0.035784999999999983,0.04711499999999999,267.06866486,32
2013-04-20,0.002014999999999989,0.007157499999999983,0.017469999999999986,0.01097999999999999,0.0069099999999999995,0.01034750000000001,0.009935,276.60152264,32
2013-06-07,,,,,,,,,0
2013-06-23,,,,,,,,,0
2013-07-25,,,,,,,,,0
2013-08-10,0.0012999999999999956,0.008119999999999988,0.029239999999999988,0.010429999999999995,-0.0016424999999999912,0.0012449999999999961,0.002344999999999986,297.36257611999997,32
2013-08-26,,,,,,,,,0
2013-09-11,,,,,,,,,0
2013-09-27,-0.0061249999999999916,0.002097500000000002,0.015077499999999994,0.009137499999999993,0.021897499999999986,0.0144725,0.014032500000000003,283.59820958,32
2013-10-13,0.0020699999999999885,0.005369999999999986,0.011639999999999984,0.00581000000000001,0.002344999999999986,0.0028124999999999956,0.0023999999999999855,290.6427488,32
2013-10-29,,,,,,,,,0
2013-11-14,,,,,,,,,0
2013-11-30,-0.002604999999999996,0.001684999999999992,0.012327499999999991,1.724999999999921E-4,-0.0016700000000000048,0.00581000000000001,0.0064700000000000035,276.321245,8
2013-12-16,,,,,,,,,0
2014-01-17,,,,,,,,,0
2014-02-02,1.1536600000000001,1.1684275000000002,1.1009425000000002,1.116645,1.00692,0.07813500000000001,0.1012075,258.79022041999997,32
2014-02-18,,,,,,,,,0
2014-03-06,,,,,,,,,0
2014-03-22,,,,,,,,,0
2014-04-07,,,,,,,,,0
2014-04-23,,,,,,,,,0
2014-05-09,-0.013412499999999994,-0.004942500000000016,0.015765,0.006772499999999987,0.008587499999999998,0.017744999999999983,0.01691999999999999,282.39164852,32
2014-05-25,-0.0011200000000000099,0.0026199999999999835,0.016892500000000005,0.0066900000000000015,7.22499999999987E-4,0.0020425000000000026,0.002344999999999986,292.31074256,32
2014-06-10,,,,,,,,,0
2014-06-26,-0.007197499999999996,0.004269999999999996,0.0357025,0.006112499999999993,-0.0018350000000000033,0.006772499999999987,0.007624999999999993,297.8889512,32
2014-07-28,-0.0014774999999999927,0.011557499999999998,0.04373250000000001,0.021182499999999993,0.023822499999999996,0.015380000000000005,0.014334999999999987,295.45532096,32
2014-08-13,0.004462500000000008,0.013839999999999991,0.03674749999999999,0.017689999999999984,0.008532499999999998,0.009220000000000006,0.008697499999999997,296.16968714,32
2014-08-29,9.699999999999986E-4,0.009137499999999993,0.030285000000000006,0.010457500000000008,0.007377500000000009,0.0077625000000000055,0.0070199999999999985,297.02761016,32
2014-09-14,8.874999999999855E-4,0.005672499999999997,0.015682499999999988,0.006222499999999992,0.0029224999999999945,0.002840000000000009,0.0028124999999999956,292.31416058,32
2014-10-16,0.005259999999999987,0.007212499999999983,0.01238249999999999,0.004682500000000006,0.002564999999999984,0.0013825000000000087,9.149999999999991E-4,287.24865494,32
2014-11-01,0.002014999999999989,0.004847500000000005,0.011942499999999995,0.004022499999999984,-3.5000000000001696E-4,5.850000000000022E-4,6.12499999999988E-4,283.60162760000003,32
2014-12-03,0.009632499999999988,0.009742499999999987,0.013812500000000005,0.0039949999999999986,-0.0014224999999999932,9.699999999999986E-4,0.001052499999999984,274.99163522,32
2014-12-19,,,,,,,,,0
2015-02-05,1.1387275000000001,1.15564,1.093215,1.1073775000000001,0.9865975,0.07599,0.097055,258.81756458,32
2015-02-21,,,,,,,,,0
2015-03-09,0.438495,0.45224500000000006,0.46112749999999997,0.4678925,0.40753,0.01186000000000001,0.010182499999999983,273.08438006,32
2015-04-10,,,,,,,,,0
2015-04-26,5.300000000000027E-4,0.0038024999999999864,0.012080000000000007,0.00383,1.724999999999921E-4,0.001464999999999994,0.0013825000000000087,281.69095442,32
2015-05-28,-1.0250000000000536E-4,0.006415000000000004,0.0174425,0.003637499999999988,0.0037750000000000006,0.0029224999999999945,0.0034724999999999895,294.0094985,32
2015-06-29,-0.00414500000000001,0.004682500000000006,0.037215,0.002950000000000008,-0.005025000000000002,-0.0019175000000000164,4.750000000000032E-4,297.66336188,32
2015-07-15,7.774999999999865E-4,0.008587499999999998,0.034409999999999996,0.011832499999999996,0.0023175,-2.6750000000000385E-4,5.574999999999886E-4,296.8977254,32
2015-07-31,0.022722500000000007,0.031164999999999998,0.05159750000000002,0.036087499999999995,0.028744999999999993,0.0265175,0.023107500000000003,297.96756566,32
2015-08-16,-0.005794999999999995,0.006112499999999993,0.0386175,0.018762499999999988,0.03729750000000001,0.026599999999999985,0.022117499999999984,289.1900903,32
2015-09-01,0.02459249999999999,0.0294875,0.041147500000000004,0.023519999999999985,0.020384999999999986,0.0066900000000000015,0.003610000000000002,297.26345354,32
2015-09-17,,,,,,,,,0
2015-10-03,0.0035824999999999885,0.0071299999999999975,0.01488500000000001,0.006607499999999988,3.924999999999901E-4,0.0024824999999999986,0.0027850000000000097,290.48210186,32
2015-10-19,,,,,,,,,0
2015-11-04,0.001574999999999993,0.0057274999999999965,0.013839999999999991,0.005122500000000002,5.850000000000022E-4,0.0023999999999999855,0.0018499999999999905,285.4473584,32
2015-11-20,,,,,,,,,0
2015-12-06,,,,,,,,,0
2016-01-23,-0.10881,-0.08859750000000001,-0.014567500000000011,-0.0518575,-0.011569999999999997,0.004819999999999991,0.021430000000000005,268.99984616,32
2016-03-11,-8.450000000000124E-4,0.006855,0.0203025,0.009385000000000004,0.003637499999999988,0.005672499999999997,0.0064700000000000035,273.22110086,32
