SimDate,EpiPOC_mgC_L,EpiDOC_mgC_L,EpiDO_mgO2_L,EpiDO_sat,EpiNPP_mgC_L,EpiR_mgC_L,EpiT_C,EpiI_w_m2,Secchi_m
2010-01-01,0.22506361286302448,5.3836034103364385,12.864786485001519,13.882479734618473,0.0238992663260317,0.0067612131871626095,0.7350167882068889,5.170487540149893,3.8815000046010804
2010-01-02,0.21203437906473907,5.380160480736772,12.873700274129067,13.911916249253121,0.0023287139179392585,0.006763819009719774,0.6593957750057652,0.5081565376653291,4.00166914709583
2010-01-03,0.20079641310375876,5.376700953773661,12.889730767486574,13.822055231202263,0.004381893046740252,0.006779090093158426,0.8910880954632654,0.9629391184743461,4.107735646378621
2010-01-04,0.1909599526462103,5.373927381088344,12.902344416712998,13.821641048982478,0.004544153184505983,0.006686018063998964,0.8921618322516471,0.9768372747104438,4.208615667361075
2010-01-05,0.1816966973721745,5.371144463126809,12.914970411086616,13.821213482745772,0.004356244130033392,0.006597658497291575,0.8932703226245943,0.936289096019942,4.307988789045541
2010-01-06,0.17358730348805199,5.369068828336172,12.927762780282801,13.82077669163846,0.004248081846317747,0.006509995078517106,0.8944027882968775,0.9128983733172044,4.403451094576075
2010-01-07,0.16627013729746334,5.367065388511922,12.942073157480467,13.820322725848978,0.004677269146493942,0.006425381501338682,0.8955798461681077,1.0048319761292537,4.492343705511173
2010-01-08,0.15877524062131348,5.364595640926875,12.954957134217105,13.819859289021466,0.00406655070525027,0.006345384105864155,0.8967815276418649,0.8733959292139621,4.584120813956269
2010-01-09,0.15236905081643365,5.36235060775435,12.970523458637942,13.819382125493446,0.004971160320686163,0.006262128673987815,0.8980188726448814,1.0674810120660345,4.664602066632028
2010-01-10,0.14667622925148008,5.360234533218021,12.987209081842245,13.818871911470474,0.005386959444736658,0.006186773894471867,0.8993420008726197,1.1565780681726705,4.737943233405294
2010-01-11,0.14148070912301483,5.3585253213858834,13.002540000731203,13.818351641390265,0.004926404646067864,0.006115886182446792,0.900691291509499,1.0575333343237725,4.810844416987283
2010-01-12,0.13564104012441539,5.35640133007742,13.014069583065499,13.817858778209072,0.0035294056932773455,0.0060447528845013485,0.9019695823811302,0.7574509201462017,4.894368580442241
2010-01-13,0.13144364086192986,5.354832356812958,13.03056956007365,13.817349888421477,0.005324608720801662,0.005965507338205251,0.9032895199957625,1.1424564318857868,4.9560791788378
2010-01-14,0.12773158024120557,5.353361152526488,13.047668534213289,13.816788536945817,0.005643371829475722,0.0059004177461451845,0.9047456250176361,1.2105833921655573,5.011450511772463
2010-01-15,0.12398448304304605,5.351777405174048,13.06342856417458,13.816219425306617,0.005269280425179004,0.0058389058201772735,0.9062219604604957,1.1300887807311681,5.0679868433824025
2010-01-16,0.12096030470665751,5.35040671639551,13.080789683571517,13.815640156554014,0.005972802314716636,0.005776108605869288,0.907724749091492,1.280708701594879,5.114000833526649
2010-01-17,0.11829206558562465,5.349112789648872,13.098376157656748,13.815034507481268,0.006222145130105661,0.005719513354642411,0.9092960886316087,1.333916700390666,5.154766568455764
2010-01-18,0.11571429690304107,5.347791319493251,13.11521741928336,13.814420488197978,0.006128467008073381,0.005665833590062476,0.9108892621992035,1.313589959739247,5.1943119494491885
2010-01-19,0.11337608113945244,5.346509550815273,13.131925175334896,13.813802613671264,0.00625553609795639,0.0056126297905552194,0.9124925585202657,1.3405922374651391,5.230195784780045
2010-01-20,0.11135210751386913,5.345305968691086,13.148824482717146,13.81317234915192,0.006513380324657157,0.005561426920234037,0.9141281288256352,1.3956223854119072,5.2610706798483395
2010-01-21,0.10927887137975703,5.344034224975627,13.164560592657033,13.812537427416844,0.006281406235964589,0.005513074464715392,0.9157759112086288,1.3457108737569,5.292847120815461
2010-01-22,0.10610194180235391,5.342245942222838,13.175140263427227,13.811948411189052,0.004529321291185948,0.0054640756632418595,0.9173046706076736,0.9702104640654902,5.343448741003598
2010-01-23,0.10457012316345796,5.341096628667452,13.191090184791037,13.811353583758134,0.0065821341489142845,0.005404020331899028,0.9188486234579847,1.4097652605550566,5.366625601625963
2010-01-24,0.10254892274849033,5.339939188487633,13.203156358641376,13.81073306931248,0.005334450608306492,0.005359481893663139,0.9204593690002084,1.1424060997442087,5.402034628833976
2010-01-25,0.10041426492013748,5.3392202521244085,13.211447684724916,13.81017564596965,0.004026133992749392,0.005308253297664137,0.9219064445521226,0.8620617225750129,5.448074898683562
2010-01-26,0.09827332094049275,5.33832546992873,13.219894172441341,13.809641003896797,0.004094486896097456,0.00525148222029569,0.923294471636284,0.8764061214827469,5.4915630448182595
2010-01-27,0.09710227495373625,5.337828559024226,13.231401060834733,13.809088161813643,0.005263160684437036,0.005195813001356787,0.9247298438598968,1.1262504093023795,5.517623750774901
2010-01-28,0.09544950668715184,5.337134184560068,13.240424920911872,13.808497380362535,0.004452768631759856,0.005149567157349452,0.9262638263716145,0.9525783331553702,5.55230170289638
2010-01-29,0.09618843355615211,5.3374399092450515,13.25805786786998,13.807850201611176,0.007737655713507651,0.005098883266961334,0.927944372381284,1.6548520428412647,5.54269036858688
2010-01-30,0.09677594149403247,5.337689639634408,13.27468652827028,13.807111774131288,0.007682272894936578,0.005072106570599955,0.9298620274715268,1.6425437231617857,5.534815258601448
2010-01-31,0.09732861869903908,5.337928646193079,13.2907599861378,13.806379102678811,0.00777585903260019,0.005045388081252427,0.9317649042296512,1.6620733828929217,5.526641106863662
2010-02-01,0.09780176846456727,5.338140941867683,13.306091105547074,13.805648625740451,0.007791060403018991,0.005019760675655128,0.9336622498017961,1.6648706506991016,5.519149194402103
